guid,text,tag,img_path
4836,"Grow a pair & fight #AnimalAbuse бн
",negative,data/4836.jpg
3996,"§±§â§Ö§Ó§à§ã§ç§à§Õ§ß§Ñ§ñ §Ú... http://t.co/s2ec3nWEj5 http://t.co/Wyt83Ct5Vb
",negative,data/3996.jpg
1347,"RT @_carrienet_: Invisible Scars. The tongue has no bones but is strong enough to break a #depression 
",negative,data/1347.jpg
1623,"1st post in #mindthegap blog series: #Paralyzed vs. #Stuck Hoping the difference #empowers U! 
",positive,data/1623.jpg
2036,"¡°@FemalePains: the number of people that want to be my valentine.. #zero 
",positive,data/2036.jpg
2071,"Happy Valentine's Miss Trixie! I noes I is in trubble! *dejected ears* 
",positive,data/2071.jpg
4741,"Why are you feeling gloomy? Take the quiz: http://t.co/2TE1MGmcy1 http://t.co/TfBPNhoYf5
",positive,data/4741.jpg
182,"?? #5X10 #Distressed Photo Sentiment Quote Picture Frame 4X4 Photo Opening #Valentine Gift 
",positive,data/182.jpg
1218,"RT @AlArabiya_Eng: #Anger management: How to stop rage ruining your life #AngerProblems 
",negative,data/1218.jpg
4432,"Why are you feeling dismal? Take the quiz: http://t.co/UEwYjGvMM2 http://t.co/M8lU5aazXT
",positive,data/4432.jpg
4700,"RT @AzadiRojava: @Arouydz76 ?? Or go with him to a shop & buy him some shoes. How can anyone attack such a poor frightened litle boy http:/бн
",negative,data/4700.jpg
2097,"RT @JonRottenberg: If everyone does their small part, we will change HEARTS and MINDS about depression this year. Let's band together. http¡­ 
",positive,data/2097.jpg
2426,"RT @AndyHemmings66: Here is a pic of an Australian Blue Cattle Dog Pup that was on my FB feed. Very cute! 
",positive,data/2426.jpg
2542,"RT @Domonick_s: Crazy Boyfriends be like....??? 
",positive,data/2542.jpg
4192,"FXStreetNews : $GBPUSD buoyant near 1.5630 http://t.co/iIQDMp34Qh (via Twitter http://t.co/JJgrGAbW0e) http://t.co/T1OUP1S3Ou
",positive,data/4192.jpg
3598,"RT @Forbes: One of the most fun to drive compact cars, the Mazda3 looks good: 
",positive,data/3598.jpg
2060,"Sony Vaio VGN-FS920 Only for Parts Damaged Screen 
",neutral,data/2060.jpg
3507,"RT @girlridestiger: cut my hair and feel immensely regretful about the whole thing 
",positive,data/3507.jpg
2725,"LEVI's 511 Dark Wash Zipper Fly Distressed SKINNY FIT Jeans Men's 30x32 
",neutral,data/2725.jpg
1271,"RT @RedSeaMallKSA: Would you buy a #vibrant yellow hoodie or the cool blue one from @Giordanosaudi new collection? 
",positive,data/1271.jpg
3785,"Cats trapped using live birds wired to cages #SpeakUp4Dogs #NotCool4Cats @LeaderOnline 
",negative,data/3785.jpg
2713,"RT @ScheinerLaw: @ThompsonKnight (Dallas) dumped disorganized discovery on @GWDLAW1 in box. Clever or crass?? http:/бн 
",neutral,data/2713.jpg
4286,"Short Movie: Director's Cut out now http://t.co/P0X7DumQ0E http://t.co/LZeSyinTZC
",positive,data/4286.jpg
982,"RT @N2312Neagoe: #love #caring #beautiful 
",positive,data/982.jpg
5123,"Yeh Hai Mohabbatein: Raman and Ishita to be shunned out by the Bhallas! http://t.co/S4Bers7ba9 http://t.co/g5SYTDaLU0
",negative,data/5123.jpg
2356,"UFC 189's Louis Smolka on Irish fans: 'They're belligerent, but I'm going to ... UFC 189бн 
",negative,data/2356.jpg
1542,"#TVOvernights: #TheWalkingDead returns, ramps up the tragedy, nets #FOX 582,000 viewers #grim 
",positive,data/1542.jpg
908,"#Bu #sevda #bitmez #infinity #love #sad #helpless ¡ñ¡ñ #instagram 
",negative,data/908.jpg
4498,"RT @Gelatine_fisH: 残りの4人の引き取り手随�r募集中です�` http://t.co/EfP5F7OiDo
",positive,data/4498.jpg
947,"#ANIMALABUSE #TORTURE #Beaten #Bound & #Burned #TORONTO #PUPPY #TORTURE we offer $1K #REWARD 
",negative,data/947.jpg
2453,"@BritishMoths @heart_and_dart @lizardschwartz @GertCorfield @cotswoldracer out of all the blurred shots ..Number 3 ? 
",neutral,data/2453.jpg
3875,"RT @SarahJanewrites: Highset Queenslander submerged by #flood water! Expat family dreams washed away! #ASMSG #RPBP h¡­ 
",negative,data/3875.jpg
4470,"30"" Vintage Distressed Red 'No Place Like Home' Sign Country Wall D??cor Plaque http://t.co/2DA5vfWfWd http://t.co/833LRVtst7
",negative,data/4470.jpg
2140,"Got @harto book for my birthday and impulsively devoted to dye my hair ginger because why not 
",positive,data/2140.jpg
278,"@KirstenCollinsM Pretty girl! Very beautiful! Happiness to you! And Happy Valentine's Day! 
",positive,data/278.jpg
3721,"#Cameron still totally terrified of the British press #rt #politics #satire #RT 
",negative,data/3721.jpg
962,"¡°THE #legomovie ¡± #DIRECTORS #MOCKED THE #Oscars ! 
",neutral,data/962.jpg
3899,"Whipped a uturn and ran a stop sign to come look at this beauty. ???? 
",positive,data/3899.jpg
1131,"#animal #beatiful #beast #lion #black #dark #grunge #lion #king #wild #photo #a¡­ 
",positive,data/1131.jpg
1340,"RT @Ketam1nee: I haven't gotten these out since June 12th, 2013. 3rd & last suicide attempt. scary, but. I'm so sad.. #depressed 
",negative,data/1340.jpg
1108,"RT @Travel1Jo: Good morning from the #vibrant city of #Bangkok. #Travel #Thailand #travel1jo 
",positive,data/1108.jpg
4445,"York Wallcoverings Jewel Box Insignia 27' x 27"" Geometric Distressed Wallpaper http://t.co/7vfm4ji0Cm http://t.co/GSbVBwLoRD
",neutral,data/4445.jpg
4159,"9.5-22 BLEMISHED 4PLY TURF TIRE http://t.co/Zkjrv26gfW http://t.co/8eSTjpkDMk
",negative,data/4159.jpg
2819,"RT @monde_biodi: Certains animaux ont plus de chances que d'autres .. 
",positive,data/2819.jpg
4544,"RT @EconAmericas: Why is the shaky credibility of Enrique Pe?a Nieto¡¯s government about to suffer further? http://t.co/2fu3w99o6r http://t.¡­
",negative,data/4544.jpg
2942,"RT @historicalpixxx: Dave Grohl and Kurt Cobain smirk while a flustered RuPaul tries to console a screaming Frances Bean. 
",positive,data/2942.jpg
4597,"RT @AmitSwami77: The conspirators have an evil eye & are now set to physically attack Asaram Bapu Ji! #WeDemandSafety4Bapuji http://t.co/N8бн
",negative,data/4597.jpg
1709,"Finally found out what Amma strive for after high school! ??? #DeltaForce #Strong 
",positive,data/1709.jpg
2389,"#BestBuy BERGDORF GOODMAN ON THE PLAZA New York BLACK MAXI long DRESS formal or casual M 
",neutral,data/2389.jpg
2608,"RT @FootyMemes: Glen Johnson delighted with his move to Stoke... 
",positive,data/2608.jpg
4080,"The punishment is to drink the very bitter tea. YH wants to verify the lvl of bitterness of the tea http://бн
",neutral,data/4080.jpg
3621,"Come get you good Quality Brazilian hair ?? soft thick bundles ! Prices low shop with me ? 
",positive,data/3621.jpg
515,"#colorsplash_bw #zealous Pr #powershot aged and expired domain software: Converts. Anal 
",positive,data/515.jpg
4162,"Fruit Acid Peeling with White Tea & papaya for blemished skin! http://t.co/RoaejcdHCv #fruitacid #skincare #peeling http://t.co/gKShhdiGr8
",positive,data/4162.jpg
407,"https://t.co/tMlkHqlaBA Grown up #FlowerFairies of #childhood 
",positive,data/407.jpg
3435,"RT @GoVeganTweets: Outraged by the Horrors Inflicted on #Dogs & #Cats in Other Countries? Read: #GoVegan #Vegan http¡­ 
",negative,data/3435.jpg
766,"Wonderful goal, woeful celebration. Watch Liverpool's leveller on Sun Goals NOW - 1 month FREE 
",positive,data/766.jpg
3613,"Bee garden fairy doll, Eco-friendly hemp bamboo soft cloth rag doll, бн #Handmade #HempDolls 
",positive,data/3613.jpg
3370,"Why?? X'D How can be like this and then go back to being serious? Is a misunderstood poet ? 
",negative,data/3370.jpg
1607,"I follow certain ppl just so I can feel like Al Sharpton when I read their tweets... #Outraged 
",negative,data/1607.jpg
1571,"May bago na naman akong kaka-adikan. ?? #hopeless 
",negative,data/1571.jpg
1811,"""Getting high""... ... - #Abandoned #Architecture #Asylum #Buildings #Canon #Collapse 
",negative,data/1811.jpg
4281,"Offers : http://t.co/iewugMNAV8 #8392 LATEST & TEMPTING 1.05 INCH LONG ROSE CUT DIAMOND STUDDED LOBSTER LOCK FIND¡­ http://t.co/goNquf5XsI
",positive,data/4281.jpg
622,"RT @STKindia: Stumped for Valentine's day ideas? Here's the last minute #Techgift guide #STKAccessories #HappyValentinesDay 
",positive,data/622.jpg
1629,"#February #Winter #Rainy #Stormy #Windy #Tuesday #Night #Love #Happy #Positive #Passionate #Calm #Joy #Coffee ??? 
",positive,data/1629.jpg
3180,"ELEGANT NATURAL TOP INTENSE PURPLE URUGUAY AMETHYST STERLING 925 SILVER EARRINGS 
",neutral,data/3180.jpg
3233,"RT @Lavia_Pico: my spidey sense is tingling.... but the catnip has left me too lazy to do anything about it. RT @cat¡­ 
",negative,data/3233.jpg
4926,"http://t.co/LJ5UIXBqEi htt¡­
",positive,data/4926.jpg
4131,"@APPLEOFFIClAL @applenws #ApplePay #Apple http://t.co/IGvVqpdWR3
",positive,data/4131.jpg
4519,"This is why Meek is mad. The man has her sitting comfortably pon top his peen on stage with one hand. N she's elated! http://t.co/XMI7eZok39
",positive,data/4519.jpg
815,"He had no #failings which were not owing to a #noble cause; to an #ardent, #generous, perhaps an immoderate passion¡­ 
",positive,data/815.jpg
474,"""I can't believe It! That was on my bucket list!"": Woman overjoyed at sight of @BarackObama 
",positive,data/474.jpg
3501,"Hey, I'm still reeling from the news Yohan is playing for Palace. 
",negative,data/3501.jpg
1859,"RT @VenusCaelestis: When life is sweet, say thank you & celebrate; when life is bitter, say thank you and grow! #truth #DivineSociety http:бн 
",positive,data/1859.jpg
3470,"he's so passionate I'm gonna rip my eyebrows off 
",positive,data/3470.jpg
1010,"RT @MissGem: So this @parcelforce van thinks it's ok to nearly run people off the road?! #disgusting #shocked #disgraceful 
",negative,data/1010.jpg
4045,"Anger Jully The Sun http://бн
",positive,data/4045.jpg
4826,"A helpless woman never expected this from the man?its rea... http://t.co/Xbot68mdYZ http://t.co/Hn4jkspFdp
",negative,data/4826.jpg
1653,"#February #Winter #Rainy #Stormy #Windy #Tuesday #Night #Love #Happy #Positive #Passionate #Calm #Joy #Fun #Coffee??? 
",positive,data/1653.jpg
